04000US33,37532,34625,44958,46055,61970,67819,71322,67576,65880,56984,56815,66633,50926,51331,55567,55321,64131,66176,40998,39407,35245,39171,26403,36032,40805,25914,39436,30548,32338,37964
04000US34,39120,36287,49826,49734,68059,66692,61782,60508,62338,63368,55275,62968,50405,51771,56045,54568,64777,65306,48021,47468,42280,43924,30980,40049,38734,27776,39000,31715,34241,40500
04000US35,22602,19296,31543,32574,40028,43424,42127,44356,41982,38947,39562,45134,35093,33124,35105,35457,43542,42102,30086,25086,26905,25991,20423,26540,25039,20630,25860,19845,20758,26758
04000US36,31496,28915,37394,39989,48222,47680,53843,48944,50636,47176,44649,49781,40744,42114,42788,41966,50216,50461,35798,35410,31899,33028,23639,31794,31591,22027,31051,25025,26384,31697
04000US37,26406,24415,35838,37254,39797,41553,41208,43513,45206,42056,40238,43830,38317,38162,37279,36515,41906,42930,35840,35601,30114,31979,21451,26853,26329,20569,27771,21861,22760,28820
04000US38,25229,24092,30304,32663,41047,55766,52888,47205,56361,42192,39220,51006,35996,35793,40410,36200,50075,49631,31661,31470,28278,29089,21205,25892,25264,20771,26959,21508,22576,28118
04000US39,29021,27740,38925,39489,45900,44375,46398,49099,44648,44203,43055,45886,42962,41785,43520,42684,45879,46934,36134,34070,31855,34941,25174,29790,30013,23123,31404,25115,25773,31285
04000US40,23667,23667,33727,32683,38838,48407,43777,43216,48455,37645,39614,43103,32432,35609,35902,36458,45878,46111,31351,27437,26991,26311,21205,25462,24384,21148,25284,20948,21691,26260
04000US41,28529,27748,39067,40619,47091,51775,56307,50236,51526,44159,40994,50602,42499,41273,41638,41802,49098,51727,37247,35492,31456,36374,21894,30190,29281,21399,31927,24773,25038,33138
04000US42,28690,26742,39015,37758,48477,51904,53952,48437,49910,46300,44106,48314,42176,43499,42933,42498,48172,51402,37517,34899,32066,34524,22877,30367,29005,20346,29882,23807,25424,30995
04000US44,30124,29842,40686,42719,53736,56065,57812,54210,49033,49484,47935,51623,42197,45723,44711,42417,51634,53241,34797,36986,31928,35359,24625,30836,31968,21612,30432,26540,28292,33509
04000US45,23798,25533,33267,36462,39617,44401,43749,44213,40084,40230,38691,41698,37570,37736,38479,37812,41101,42155,34262,34665,29846,29071,20036,27463,28735,20309,27578,21968,25049,26053
04000US46,24108,22294,32786,35828,45427,49415,54453,46418,47223,43151,41107,45352,36475,39671,39522,37873,45826,51600,29694,29526,29733,29578,18142,24639,24571,19409,26259,19898,21151,27737
04000US47,22611,20856,34091,36522,40693,42995,42499,41195,42279,39406,38072,38591,34096,35783,37523,37030,40517,39702,30636,30790,28639,29015,17778,24453,22592,16782,24318,18256,21179,25102
04000US48,25886,24963,35783,38688,43307,51926,53027,46053,49047,41422,41397,47266,38609,40860,39271,40149,47475,46490,35075,33072,30755,32039,23743,27733,28228,23024,27953,24162,24721,28727
04000US49,30717,26313,44299,46050,54628,58341,62967,53529,55493,54813,50871,56701,47550,47342,49275,47861,58491,62537,42775,37038,35716,36480,25238,28016,30142,23057,34251,26281,26529,35786
04000US50,31295,28988,39372,41584,51981,55582,54842,47390,51862,50704,47329,55928,39594,40794,43261,42999,52318,50706,35053,32358,35802,33824,26000,29155,31098,22578,32755,24599,25415,31065
04000US51,34118,32648,43354,45693,57119,64632,67620,59161,62616,51914,51141,60367,47163,50241,54783,49631,60501,61985,42957,39211,37647,36222,28429,36137,35073,26525,38198,29715,29996,36433
04000US53,31961,32327,47421,45473,54723,62187,60106,58080,56850,50646,49922,56163,42525,42490,47508,45183,60392,56631,44562,36676,33533,35568,24000,33970,32112,25017,33900,26881,27319,35655
04000US54,21677,19353,26704,29297,38419,43553,40241,42091,41821,36445,33373,42777,29411,29673,32763,29359,40490,37994,27488,25247,23564,24880,15983,23147,22137,16843,20271,16464,17207,22421
04000US55,29123,29575,41327,45667,51692,53079,55258,51277,52058,44650,45732,50351,45088,45346,46269,45903,51237,51200,39595,40001,35388,40955,23246,31133,30711,20743,33308,26430,26369,31766
04000US56,29521,26419,35250,37248,47041,57512,55700,48744,54509,44718,45397,52201,39629,39719,42555,39763,52470,53337,33423,30953,33140,31529,22081,29050,29460,23816,30209,23559,27590,29442
